ID,x,y,time_enter,time_exit,facility_visited,num_check_in
750143,-0.86,-0.2,35655,83882,42,22
2095284,0.5,-0.53,30355,73427,36,11
736263,0.22,0.02,31100,75281,39,28
684239,-0.25,-0.77,30324,76376,36,15
477978,0.55,0.65,30884,72779,38,20
1033337,4.23,-0.7,29357,48995,35,14
1666428,-0.63,0.04,29004,77710,43,19
67142,0.32,-0.47,32205,74187,41,15
395694,2.35,0.82,35664,61883,29,28
901652,-0.31,1.37,31875,80355,42,21
527693,-0.49,0.3,31420,81467,39,26
1513840,-1.25,-0.78,30775,81588,35,32
873560,0.42,0.76,30062,72671,37,17
263633,0.83,0.51,31418,73619,40,29
1943228,0.49,-0.45,31977,73986,33,18
2007598,-0.86,1.42,28840,80710,46,22
2052043,-0.38,1.66,31593,78285,35,42
531338,-0.53,-0.8,29576,76463,44,27
1434060,-0.2,0.13,31381,77665,42,26
1739976,0.28,-0.83,31873,76983,41,15
949863,0.09,-0.65,32009,76537,38,17
1345871,-0.1,-0.83,31600,77299,41,39
1456293,-0.32,-0.74,30814,80267,37,16
710414,-0.37,2.14,30422,77241,37,40
1424087,-0.28,-1.69,31600,77310,39,31
241855,0.62,1,29495,73014,42,11
2085080,2.93,-0.13,32733,58364,35,17
1469633,3.39,-0.48,34992,55439,38,10
1297787,0.1,0.56,30522,72899,34,26
1755554,0.21,-1.69,30115,72513,36,19
1751308,-0.81,0.41,31236,81094,30,15
1789454,-0.65,0.08,30923,79813,45,22
1495984,-0.17,-0.66,28895,77595,46,19
554218,2.33,1.4,35540,61897,36,23
1349798,-0.39,-0.6,31975,77695,32,15
973383,-0.23,0.44,30506,77349,45,17
1523933,-0.27,-0.57,29182,77418,44,27
266280,-0.47,-0.18,31247,78342,44,22
1649471,-0.29,-0.61,29197,77277,48,27
1339498,0.21,-0.39,30820,74624,37,15
1246530,0.71,2.08,30884,72719,32,35
1009525,-0.08,-0.83,32247,77626,43,28
1246537,0.82,-1.45,63585,84072,34,13
546233,-0.12,-0.02,29624,76462,38,41
1416498,0.02,0.92,30855,74322,39,41
71472,-0.59,0.35,31046,80840,36,14
193689,-0.69,-1.7,31429,81486,40,24
313073,0.91,1.14,58296,80940,18,2
96152,-0.83,0.74,30450,80196,42,20
1448061,-0.89,0.58,31420,81298,38,45
843401,-0.11,-0.23,29576,76056,40,19
1131984,0.32,1.74,29726,72544,39,32
1079812,-0.38,1.09,31784,77007,39,21
733475,-0.27,-0.39,29590,78038,42,26
1578431,-0.82,0.74,30450,80196,39,20
880807,-0.68,0.48,29197,79573,35,37
698208,0.45,0.97,28855,72998,34,28
1703818,0.24,-1.65,50674,84200,28,4
1971852,-0.31,0.48,31600,77362,46,32
1624321,0.2,-0.51,30904,74373,37,21
1157004,-0.26,-1.84,31429,81487,41,27
166806,0.4,-0.06,29495,72824,43,21
304161,0.3,-0.92,30884,72565,43,26
159418,0.17,0.23,32204,74683,42,16
1057378,3.37,0.46,35877,55752,31,13
885299,-0.11,0.55,30918,76983,40,23
476784,0.27,-0.5,32139,73620,38,14
1980233,0.03,-0.13,30377,77442,47,20
1611141,0.01,-0.5,28878,73477,40,25
1732683,-0.44,0.76,32126,80136,50,20
867286,2.81,1.28,35047,58888,33,11
1902375,0.07,-0.59,31600,77524,45,33
1375289,-0.01,-0.8,31247,78493,43,26
1576297,0.61,0.77,30884,73037,38,36
1155666,-0.44,-0.87,30654,78060,42,39
1689451,-0.02,-0.56,29621,74630,42,16
1263311,0.59,-1.21,29495,73077,42,25
231065,-0.01,1.79,30842,73314,37,30
966656,-0.76,-0.77,30326,79868,44,15
1813824,-1.02,-1.67,29379,81511,43,19
1011112,-0.17,-1.45,29504,77286,39,22
923760,-0.79,0.55,31043,80348,35,38
1906057,-0.32,2.08,31194,78225,31,41
2096121,-0.06,-2.04,28890,77355,38,14
1250158,-0.46,0.66,31500,78138,36,17
1856188,-0.85,0.35,32098,80259,37,35
1566766,0.37,0.19,29908,72849,40,25
2000800,-0.66,0.44,32207,80412,45,26
1657440,0.48,0.57,31487,73394,41,21
1687776,0.35,-1.41,48920,80017,37,16
2046019,-0.05,-0.85,29209,76716,41,25
442891,-1.12,-0.8,32404,80945,44,25
821572,-0.83,0.28,34767,84354,48,24
1456874,-1.21,1.35,29190,81628,37,37
1162853,-0.25,-0.29,31301,78307,46,18
186358,-1.43,-0.7,29713,81489,35,17
1024085,0.4,-0.06,29495,72825,44,21
1045234,-0.52,-0.2,30292,81130,41,19
1086555,-0.61,0.42,29197,79610,47,33
50359,0.28,-0.93,30884,72564,41,26
2068147,-0.81,-0.9,29379,81191,46,30
1180289,-0.11,-0.21,30453,78176,43,26
673502,0.4,-0.66,30790,74388,38,15
1144498,0.71,-1.05,64068,83890,36,11
422666,-0.99,0.31,29379,81210,34,28
535019,3.48,-0.07,32796,54732,21,7
96972,-0.79,-0.25,29163,78192,42,23
87264,-0.01,-0.3,30993,76986,40,16
45840,-0.04,-0.07,29470,73656,45,34
1750125,-0.95,0.57,32366,81447,42,45
