id,x,y,time_enter,time_exit,num_facility_visited,num_check_in
675561,-1.331,-0.975,28838,81796,41,20
186358,-1.297,-0.652,29713,81489,35,17
892547,-1.234,-0.687,31332,80941,41,16
1180391,-1.229,-0.675,31332,80940,38,16
2032130,-1.194,0.014,30735,82420,44,17
2061796,-1.223,0.38,30238,81445,35,23
1513840,-1.168,-0.713,30775,81588,35,32
1930644,-1.144,-0.524,30091,81871,44,16
1751094,-1.113,0.074,32220,82545,38,23
1456874,-1.043,1.211,29190,81628,37,37
1283332,-1.021,1.379,30775,81945,30,24
1632214,-1.02,1.39,30775,81945,33,24
1740708,-1.065,-1.267,28870,81439,44,35
1053453,-1.117,-1.043,30693,80261,35,23
891456,-1.08,-0.775,32404,80945,41,25
442891,-1.076,-0.765,32404,80945,44,25
879255,-1.079,-0.496,28855,81084,37,21
2020630,-1.057,-0.401,31084,81466,38,20
656123,-1.062,-0.396,31084,81466,37,20
2025656,-1.079,-0.179,30297,81309,39,16
1932290,-1.07,0.209,29249,81579,42,22
1035740,-1.022,0.335,29084,81262,36,31
1086053,-1.037,0.565,32303,80969,34,18
173490,-1.014,0.87,29060,81517,41,22
73832,-0.997,1.025,29097,81083,40,48
313742,-0.96,1.359,30775,81750,40,23
2065364,-0.983,1.366,29067,81135,34,55
668484,-0.962,1.693,29067,81376,36,46
1429549,-0.978,1.743,29177,81010,38,43
1480300,-1.087,-2.18,32157,81338,39,21
1813824,-1.038,-1.528,29379,81511,43,19
2010544,-1.018,-1.227,29842,81273,41,12
238279,-0.99,-0.954,32799,83965,46,27
1517929,-1.019,-0.889,31009,81996,41,21
872429,-1.049,-0.695,32314,82410,42,22
2007242,-1.008,-0.723,29391,80355,36,21
111975,-0.983,-0.448,30399,80472,46,22
2019077,-0.976,-0.351,31394,80368,38,20
857166,-1.002,-0.21,29138,82060,39,13
744879,-0.972,0.119,30472,82045,43,28
1529852,-0.92,0.233,30775,82017,39,30
2083613,-0.946,0.616,29850,80983,37,51
126182,-0.914,0.883,31561,80454,32,34
127037,-0.953,1.148,30775,81729,37,40
1744503,-0.88,1.322,29197,79768,39,36
105331,-0.89,1.559,30366,81889,40,17
856573,-0.849,2.169,30775,81704,40,40
1310270,-0.95,-1.549,29610,78069,41,19
1758901,-0.955,-1.206,29907,81147,37,20
69530,-0.933,-0.817,32042,81600,42,20
1218201,-0.982,-0.723,29127,81723,40,20
1735326,-0.896,-0.531,31032,81928,39,37
1350073,-0.944,-0.497,29667,78467,43,20
539385,-0.919,-0.33,30968,81338,40,19
520109,-0.886,-0.124,29579,80299,47,25
759256,-0.866,-0.093,32207,80528,40,25
1520987,-0.872,0.102,31819,81869,39,18
1309481,-0.891,0.213,29474,80895,44,24
422666,-0.92,0.25,29379,81210,34,28
1740991,-0.845,0.435,29995,81814,38,13
1750125,-0.875,0.506,32366,81447,42,45
2080929,-0.844,0.692,32070,80288,32,44
4828,-0.853,0.751,32126,80204,36,37
885675,-0.83,1.074,30079,80411,42,21
1087978,-0.813,1.199,32098,81198,39,55
595748,-0.795,1.355,30349,80447,35,20
1257239,-0.79,1.635,28990,81019,35,52
2000496,-0.831,1.67,31528,80892,37,38
455752,-0.825,2.103,28840,80789,33,46
1448056,-0.783,2.498,29518,80275,41,49
357179,-0.764,2.846,31639,80516,29,38
11053,-0.944,-1.542,29610,78069,37,19
376940,-0.884,-1.35,30333,81705,43,15
2083172,-0.913,-1.292,30920,81365,41,24
1400270,-0.872,-1.121,30756,79883,39,15
960214,-0.851,-1.065,32236,80843,40,17
2068147,-0.83,-0.824,29379,81191,46,30
250943,-0.826,-0.82,29379,81191,47,30
1155879,-0.861,-0.59,29379,81511,43,29
1636144,-0.87,-0.519,32081,80268,46,23
1873443,-0.814,-0.298,31076,82304,43,16
1836075,-0.823,-0.064,35655,83882,43,22
750143,-0.825,-0.058,35655,83882,42,22
1187497,-0.812,-0.017,29340,81166,44,18
1366676,-0.784,0.149,32207,80529,38,29
821572,-0.789,0.386,34767,84354,48,24
1856188,-0.815,0.283,32098,80259,37,35
1751308,-0.778,0.367,31236,81094,30,15
1448061,-0.826,0.52,31420,81298,38,45
2022703,-0.814,0.645,29190,81580,45,29
96152,-0.778,0.664,30450,80196,42,20
1729147,-0.777,0.893,30386,81544,37,21
1107698,-0.753,0.935,29562,81160,39,51
590785,-0.731,1.03,29562,81463,42,45
1196426,-0.75,1.218,30140,80502,43,17
2007598,-0.759,1.309,28840,80710,46,22
