region,hour,population
1,8,99690
1,9,130766
1,10,122805
1,11,136383
1,12,135949
1,13,123812
1,14,129540
1,15,104821
1,16,135716
1,17,119180
1,18,123335
1,19,121901
1,20,111756
1,21,74350
1,22,36391
1,23,3488
2,8,86349
2,9,88716
2,10,82558
2,11,91176
2,12,92017
2,13,88787
2,14,81057
2,15,67963
2,16,83308
2,17,77616
2,18,90810
2,19,95639
2,20,106081
2,21,81412
2,22,41669
2,23,10503
3,8,42591
3,9,119890
3,10,123262
3,11,110292
3,12,95894
3,13,95235
3,14,109871
3,15,120353
3,16,102323
3,17,91301
3,18,83694
3,19,74623
3,20,63360
3,21,40292
3,22,14263
3,23,2185
4,8,47948
4,9,52688
4,10,48845
4,11,60829
4,12,55967
4,13,50811
4,14,49123
4,15,44972
4,16,51562
4,17,49041
4,18,46855
4,19,38290
4,20,32147
4,21,22172
4,22,13179
4,23,635
5,8,101030
5,9,241831
5,10,215176
5,11,257671
5,12,243173
5,13,232511
5,14,236599
5,15,194261
5,16,237232
5,17,231635
5,18,218184
5,19,207102
5,20,164069
5,21,112167
5,22,39512
5,23,4786
