x1,x2,y1,y2
44,50,88,93 
26,31,84,89 
37,42,10,15 
76,83,47,51 
14,19,35,38 
87,91,55,59 
18,22,55,59 
49,53,75,80 
94,98,14,21 
82,85,22,25
75,78,17,21 
73,75,15,17 
79,83,12,15 
75,77,12,14 
79,82,9,11 
83,86,17,20 
84,86,9,11 
86,89,12,15 
88,90,17,19 
3,6,54,61 
36,43,28,36 
13,21,28,33 
8,18,43,55 
41,46,42,47 
24,27,39,42 
27,30,34,38 
49,53,10,14 
20,24,43,46 
85,89,47,55 
76,82,58,64 
39,45,17,24 
29,37,66,81 
7,22,62,69 
77,88,71,76 
58,65,47,55 
32,39,85,91 
55,62,5,12 
51,58,25,30 
87,94,27,33 
42,46,36,41 
52,57,31,44 
17,21,50,54 
41,46,70,77 
70,74,25,31 
51,58,17,25 
22,26,64,68 
70,74,39,44 
27,32,30,33 
1,4,34,39 
50,57,71,76 
55,60,45,50 
77,83,27,32 
12,17,57,61 
85,90,20,25 
75,79,37,39 
42,46,25,28 
39,43,76,81 
47,51,20,25 
22,25,34,38 
67,73,5,11 
70,74,31,36 
51,54,41,45 
69,96,71,97 
81,90,33,43 
22,27,69,75 
69,75,76,82 
90,96,22,27 
66,73,50,57
