ID,hour,minute,second,time_interval,x,y
1781128,9,38,2,0,0,67
1781128,9,38,38,0,1,66
1781128,9,38,42,0,2,66
1781128,9,38,46,0,3,66
1781128,9,38,50,0,4,67
1781128,9,38,54,0,5,66
1781128,9,38,58,0,6,66
1781128,9,39,2,0,7,67
1781128,9,39,6,0,8,67
1781128,9,39,10,0,9,66
1781128,9,39,14,0,10,66
1781128,9,39,18,0,11,66
1781128,9,39,22,0,12,67
1781128,9,39,26,0,13,66
1781128,9,39,30,0,14,66
1781128,9,39,34,0,15,66
1781128,9,39,38,0,16,66
1781128,9,39,42,20,17,67
1781128,9,59,43,0,18,67
1781128,9,59,47,0,19,67
1781128,9,59,51,0,20,66
1781128,9,59,55,0,21,66
1781128,9,59,59,0,22,66
1781128,10,0,3,0,23,67
1781128,10,0,7,0,24,67
1781128,10,0,11,0,25,66
1781128,10,0,15,0,26,67
1781128,10,0,19,0,27,66
1781128,10,0,23,0,28,66
1781128,10,0,27,0,29,67
1781128,10,0,31,0,30,67
1781128,10,0,35,0,31,67
1781128,10,0,39,0,32,66
1781128,10,0,43,0,33,65
1781128,10,0,47,0,34,64
1781128,10,0,51,0,34,63
1781128,10,0,55,0,33,62
1781128,10,0,59,0,32,61
1781128,10,1,3,0,31,60
1781128,10,1,7,0,30,59
1781128,10,1,11,0,29,60
1781128,10,1,15,0,28,59
1781128,10,1,19,0,27,58
1781128,10,1,23,0,26,57
1781128,10,1,27,0,25,56
1781128,10,1,31,0,24,55
1781128,10,1,35,0,23,54
1781128,10,1,39,0,22,53
1781128,10,1,43,0,21,52
1781128,10,1,47,0,20,51
1781128,10,1,51,0,19,50
1781128,10,1,55,0,18,49
1781128,10,1,59,0,17,48
1781128,10,2,3,0,16,47
1781128,10,2,7,0,16,46
1781128,10,2,11,0,15,45
1781128,10,2,15,0,14,44
1781128,10,2,19,0,15,43
1781128,10,2,23,0,16,42
1781128,10,2,27,0,15,41
1781128,10,2,31,0,16,40
